Province,Municipality,Address,Typology,Reflui Trattati,Potenz. (A.E.),Corpo Recettore,Recettore Finale,full_address,fallback_address,Latitude,Longitude
BENEVENTO,CALVI,Contrada CUBANTE PONTEPIANO,Comunale,Urbani,1200,Torrente Mele,Fiume Calore,"Contrada CUBANTE PONTEPIANO, CALVI, Campania, Italy","CALVI, BENEVENTO, Campania, Italy",41.0719001,14.8657158
BENEVENTO,MORCONE,CONTRADA PIANA,Comunale,Urbani,1100,Torrente Cisterna,Fiume Calore,"CONTRADA PIANA, MORCONE, Campania, Italy","MORCONE, BENEVENTO, Campania, Italy",41.3431398,14.6926762
AVELLINO,CASTELVETERE SUL CALORE,Località Litti,Comunale,Urbani,1000,Canale Remolise,Fiume Calore,"Località Litti, CASTELVETERE SUL CALORE, Campania, Italy","CASTELVETERE SUL CALORE, AVELLINO, Campania, Italy",40.928717,14.986145
AVELLINO,CASSANO IRPINO,Localit Acquolella,Comunale,Urbani,1000,Fiume Calore,Fiume Calore,"Localit Acquolella, CASSANO IRPINO, Campania, Italy","CASSANO IRPINO, AVELLINO, Campania, Italy",40.870416,15.025947
AVELLINO,SENERCHIA,Looalit Macchia,Comunale,Urbani,1000,Torrente Celentano,Fiume Sele,"Looalit Macchia, SENERCHIA, Campania, Italy","SENERCHIA, AVELLINO, Campania, Italy",40.740263,15.20315
BENEVENTO,BENEVENTO,Contrada PONTECORVO,Comunale,Urbani,1000,Torrente Serretelle,Fiume Calore,"Contrada PONTECORVO, BENEVENTO, Campania, Italy","BENEVENTO, BENEVENTO, Campania, Italy",41.1295587,14.7824639
SALERNO,BUONABITACOLO,VIA PESCHIERA,Comunale,Urbani,864,Torrente Peglia,Fiume Calore,"VIA PESCHIERA, BUONABITACOLO, Campania, Italy","BUONABITACOLO, SALERNO, Campania, Italy",40.271308,15.619968
CASERTA,VAIRANO PATENORA,,Depuratore,Urbani,800,Fosso Cerquone,F.Volturno,", VAIRANO PATENORA, Campania, Italy","VAIRANO PATENORA, CASERTA, Campania, Italy",41.337019,14.1311068
AVELLINO,FRIGENTO,Localit Mattine,Comunale,Urbani,800,Vallone Vallicelle,Fiume Fredane,"Localit Mattine, FRIGENTO, Campania, Italy","FRIGENTO, AVELLINO, Campania, Italy",41.011319,15.099747
BENEVENTO,CASTELPOTO,LOCALITA' PORTELLE,Comunale,Urbani,800,Torrente Ienga,Fiume Calore,"LOCALITA' PORTELLE, CASTELPOTO, Campania, Italy","CASTELPOTO, BENEVENTO, Campania, Italy",41.1409274,14.701937
BENEVENTO,TELESE TERME,LOC. SCAFA,Comunale,Urbani,800,Canale Ripa Delle Vigne,Torrente Grassano,"LOC. SCAFA, TELESE TERME, Campania, Italy","TELESE TERME, BENEVENTO, Campania, Italy",41.2164141,14.5270004
CASERTA,VALLE AGRICOLA,Via Saure,Depuratore,Urbani,760,Torrente Rava Secca,F. Lete,"Via Saure, VALLE AGRICOLA, Campania, Italy","VALLE AGRICOLA, CASERTA, Campania, Italy",41.425021,14.255023
CASERTA,GRAZZANISE,Fraz. Brezza,Depuratore,Urbani,700,Canale Di Bon.F. S.Andrea,Agnena,"Fraz. Brezza, GRAZZANISE, Campania, Italy","GRAZZANISE, CASERTA, Campania, Italy",41.089413,14.100324
