Province,Municipality,Address,Typology,Reflui Trattati,Potenz. (A.E.),Corpo Recettore,Recettore Finale,full_address,fallback_address,Latitude,Longitude
CASERTA,VITULAZIO,LOC.FONTANA,Intercomunale,Urbani,16000,Canale Agnena,MARE,"LOC.FONTANA, VITULAZIO, Campania, Italy","VITULAZIO, CASERTA, Campania, Italy",41.164116,14.216925
AVELLINO,CONZA DELLA CAMPANIA,ZONA ASI,Consortile,Industriali,15000,Vallone Botto,Fiume Ofanto,"ZONA ASI, CONZA DELLA CAMPANIA, Campania, Italy","CONZA DELLA CAMPANIA, AVELLINO, Campania, Italy",40.8585769,15.3360644
SALERNO,POLLA,LOC. MALTEMPO,Comunale,Urbani,14400,Fiume Tanagro,Fiume Tanagro,"LOC. MALTEMPO, POLLA, Campania, Italy","POLLA, SALERNO, Campania, Italy",40.517112,15.497962
AVELLINO,MORRA DE SANCTIS,ZONA ASI,Consortile,Urbani + Industriali,12000,Torrente Boccanova,Torrente Boccanova,"ZONA ASI, MORRA DE SANCTIS, Campania, Italy","MORRA DE SANCTIS, AVELLINO, Campania, Italy",40.929019,15.242851
AVELLINO,BAGNOLI IRPINO,Localit Cerrete,Comunale,Urbani,10000,Vallone Gennarulo,Fiume Calore,"Localit Cerrete, BAGNOLI IRPINO, Campania, Italy","BAGNOLI IRPINO, AVELLINO, Campania, Italy",40.833115,15.072549
AVELLINO,ARIANO IRPINO,Contrada Cannelle,Comunale,Urbani,10000,Vallone Canalone,Fiume Miscano,"Contrada Cannelle, ARIANO IRPINO, Campania, Italy","ARIANO IRPINO, AVELLINO, Campania, Italy",41.1526668,15.0885633
NAPOLI,MASSA LUBRENSE,Via Maggio,Comunale,Urbani,10000,Corpo Idrico Superficiale,Mar Tirreno,"Via Maggio, MASSA LUBRENSE, Campania, Italy","MASSA LUBRENSE, NAPOLI, Campania, Italy",40.6093307,14.3374265
SALERNO,MINORI,LOC. GROTTE,Comunale,Urbani,10000,Condotta Sottomarina,Mare,"LOC. GROTTE, MINORI, Campania, Italy","MINORI, SALERNO, Campania, Italy",40.652708,14.624941
SALERNO,CENTOLA,FRAZ. PALINURO,Comunale,Urbani,10000,Fiume Lambro,Fiume Lambro,"FRAZ. PALINURO, CENTOLA, Campania, Italy","CENTOLA, SALERNO, Campania, Italy",40.066502,15.311963
AVELLINO,SERINO,LOC. PECAROLE,Comunale,Urbani,9200,Torrente Barre,Fiume Sabato,"LOC. PECAROLE, SERINO, Campania, Italy","SERINO, AVELLINO, Campania, Italy",40.8567145,14.8705656
CASERTA,PIEDIMONTE MATESE,LOC. CANNETO,Comunale,Urbani,9000,FIUME TORANO,F. VOLTURNO,"LOC. CANNETO, PIEDIMONTE MATESE, Campania, Italy","PIEDIMONTE MATESE, CASERTA, Campania, Italy",41.3508501,14.3679881
BENEVENTO,AIROLA (BN),Contrada Curso,Comunale,Urbani,8850,Fiume Isclero,Fiume Isclero,"Contrada Curso, AIROLA (BN), Campania, Italy","AIROLA (BN), BENEVENTO, Campania, Italy",41.0610225,14.5584304
BENEVENTO,BENEVENTO,LOC. PONTE DELLE TAVOLE,Comunale,Urbani,8000,Torrente San Nicola,Fiume Calore,"LOC. PONTE DELLE TAVOLE, BENEVENTO, Campania, Italy","BENEVENTO, BENEVENTO, Campania, Italy",41.1295587,14.7824639
SALERNO,ISPANI,LOC. ARANCIA,Comunale,Urbani,8000,Condotta Sottomarina,Mare,"LOC. ARANCIA, ISPANI, Campania, Italy","ISPANI, SALERNO, Campania, Italy",40.087304,15.558269
AVELLINO,PRATA PRINCIPATO ULTRA,Localit Fea,Comunale,Urbani,7000,Fiume Sabato,Fiume Sabato,"Localit Fea, PRATA PRINCIPATO ULTRA, Campania, Italy","PRATA PRINCIPATO ULTRA, AVELLINO, Campania, Italy",40.985973,14.8375141
CASERTA,PIGNATARO MAGGIORE,Pezzospina,Comunale,Urbani,6000,Canale Ferrovia,Agnena,"Pezzospina, PIGNATARO MAGGIORE, Campania, Italy","PIGNATARO MAGGIORE, CASERTA, Campania, Italy",41.190816,14.172324
BENEVENTO,CERRETO SANNITA,VIA COSTE CENTRO URBANO,Comunale,Urbani,6000,Torrente Titerno,Fiume Volturno,"VIA COSTE CENTRO URBANO, CERRETO SANNITA, Campania, Italy","CERRETO SANNITA, BENEVENTO, Campania, Italy",41.2844718,14.5589453
BENEVENTO,TELESE TERME,LOC. SAN BIASE,Comunale,Urbani,6000,Torrente Seneta,Fiume Volturno,"LOC. SAN BIASE, TELESE TERME, Campania, Italy","TELESE TERME, BENEVENTO, Campania, Italy",41.2164141,14.5270004
BENEVENTO,SANT’AGATA DE GOTI,LOC. REULLO,Comunale,Urbani,5600,Torrente Reullo,Fiume Isclero,"LOC. REULLO, SANT’AGATA DE GOTI, Campania, Italy","SANT’AGATA DE GOTI, BENEVENTO, Campania, Italy",41.095405,14.502785
AVELLINO,ALTAVILLA IRPINA (AV),Contrada ISCHITE,Comunale,Urbani,5000,Torrente Avellola,Fiume Sabato,"Contrada ISCHITE, ALTAVILLA IRPINA (AV), Campania, Italy","ALTAVILLA IRPINA (AV), AVELLINO, Campania, Italy",41.00616,14.7776788
AVELLINO,LIONI,Localit Oppido Martinelle,Comunale,Urbani,5000,Fiume Ofanto,Fiume Ofanto,"Localit Oppido Martinelle, LIONI, Campania, Italy","LIONI, AVELLINO, Campania, Italy",40.876517,15.187751
CASERTA,CASTELVOLTURNO,VIA FIUME TRONTO,Depuratore,Urbani,4500,Fiume Volturno,Mare,"VIA FIUME TRONTO, CASTELVOLTURNO, Campania, Italy","CASTELVOLTURNO, CASERTA, Campania, Italy",41.1145505,13.9075526
SALERNO,PADULA,LOC. FUSARA,Comunale,Urbani,4350,Torrente Fabbricato,Fiume Tanagro,"LOC. FUSARA, PADULA, Campania, Italy","PADULA, SALERNO, Campania, Italy",40.3416425,15.658254
AVELLINO,FONTANAROSA,Pozza Mastrillo,Comunale,Urbani,4000,Canale Iamale,Fiume Fredane,"Pozza Mastrillo, FONTANAROSA, Campania, Italy","FONTANAROSA, AVELLINO, Campania, Italy",41.017663,15.0212391
CASERTA,ALIFE,Via Vadolargo,Comunale,Urbani,4000,Torrente Fusaro,Fiume Volturno,"Via Vadolargo, ALIFE, Campania, Italy","ALIFE, CASERTA, Campania, Italy",41.32612,14.334026
SALERNO,CASTELLABATE,LOC. OGLIASTRO MARINA,Comunale,Urbani,4000,Vallone Arena,Fiume Arena,"LOC. OGLIASTRO MARINA, CASTELLABATE, Campania, Italy","CASTELLABATE, SALERNO, Campania, Italy",40.2779623,14.9554292
SALERNO,OLEVANO SUL TUSCIANO,FRAZ. MONTICELLI,Comunale,Urbani,3700,Fiume Tusciano,Fiume Tusciano,"FRAZ. MONTICELLI, OLEVANO SUL TUSCIANO, Campania, Italy","OLEVANO SUL TUSCIANO, SALERNO, Campania, Italy",40.6689045,15.0326148
AVELLINO,BISACCIA,loc. Calli,Comunale,Urbani,3500,Canalr Valloncello,Canale Valloncello,"loc. Calli, BISACCIA, Campania, Italy","BISACCIA, AVELLINO, Campania, Italy",41.012121,15.374753
SALERNO,BATTIPAGLIA,LOC. TAVERNOLA,Comunale,Urbani,3500,Fiume Tusciano,Fiume Tusciano,"LOC. TAVERNOLA, BATTIPAGLIA, Campania, Italy","BATTIPAGLIA, SALERNO, Campania, Italy",40.6092539,14.9821443
AVELLINO,CASTELBARONIA,Localit Gorghi,Comunale,Urbani,3000,Torrente San Nicola,Torrente san Nicola,"Localit Gorghi, CASTELBARONIA, Campania, Italy","CASTELBARONIA, AVELLINO, Campania, Italy",41.043744,15.193637
BENEVENTO,PESCO SANNITA,LOC. ACQUARO,Comunale,Urbani,3000,Vallone S.Nicola,Fiume Tammaro,"LOC. ACQUARO, PESCO SANNITA, Campania, Italy","PESCO SANNITA, BENEVENTO, Campania, Italy",41.2335942,14.8113333
BENEVENTO,FORCHIA,Via Sant'Alfonso De Liguori,Comunale,Urbani,3000,Vallone Palata,Fiume Isclero,"Via Sant'Alfonso De Liguori, FORCHIA, Campania, Italy","FORCHIA, BENEVENTO, Campania, Italy",41.0302254,14.537343
